,username,wither_skeleton,creeper,player,drowned,enderman,skeleton,zombie,stray,piglin,cave_spider,silverfish,spider,wolf,ender_dragon,iron_golem,vindicator,witch,zombie_villager,endermite,fox,vex,evoker,guardian,hoglin,phantom,ravager,shulker,wither,blaze,elder_guardian,husk,magma_cube,zombified_piglin,ghast,pillager,slime,piglin_brute,panda,armor_stand,bee,llama
87,PythonPixels,,2.0,,,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
88,TitanReaper_64,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,RadSadCowboi,,2.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Maatricht,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,BionicTulip,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Matakiller,,18.0,32.0,2.0,10.0,25.0,28.0,,9.0,,,2.0,,,,3.0,,1.0,,,,,,8.0,1.0,,,2.0,,,,,1.0,,1.0,,,,,,
93,SpOokyBoy_Ash,,,104.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
94,shoolq,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,NevQ,,4.0,43.0,,,,,,1.0,,,,,,3.0,,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,
96,Modify1337,,2.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Jennajen,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,3ZVB,,2.0,35.0,,4.0,3.0,15.0,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,
99,None25,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Plaic,,21.0,31.0,,8.0,19.0,23.0,,15.0,,1.0,1.0,,5.0,2.0,14.0,,1.0,,,4.0,1.0,,5.0,1.0,6.0,,,,,,11.0,1.0,,1.0,,,,1.0,1.0,
101,Nightmar35,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,GLackDon,,9.0,40.0,,5.0,4.0,2.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
103,Barbacena,,4.0,2.0,,,2.0,3.0,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
104,Tekavi,1.0,18.0,71.0,,7.0,6.0,9.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,2.0,1.0,1.0,,1.0,2.0,,,,2.0,,,,3.0,,,,
105,Tohbeh,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,NigthmareTTV,,4.0,1.0,,1.0,5.0,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,ichasestarlight,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Nexo03,,22.0,148.0,,18.0,22.0,13.0,,15.0,,,2.0,,9.0,4.0,1.0,1.0,,,,,,2.0,,,,,,,,,3.0,9.0,21.0,,9.0,,,,,
109,WillPlaysGame,,7.0,10.0,1.0,5.0,10.0,7.0,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
110,Ducky0134721,,,3.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,FlamingDragX,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,eWar,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,DustaWolf,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,StoneyBolagna,,6.0,,,,9.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
115,StollBrownless,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Hikekomori,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Hylianic,,14.0,4.0,,6.0,11.0,8.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,2.0,,,,,3.0,,,
118,snowflakexo,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,nnint,,1.0,4.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
120,Envvi,1.0,5.0,,,,6.0,4.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
121,GiantHoboSquid,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
