,username,spider,skeleton,magma_cube,piglin,pig,creeper,sheep,zombie,ghast,cow,enderman,chicken,zombie_villager,axolotl,blaze,cat,cave_spider,drowned,elder_guardian,glow_squid,guardian,hoglin,horse,iron_golem,phantom,piglin_brute,pillager,salmon,shulker,silverfish,slime,squid,trader_llama,witch,wither,wither_skeleton,zombified_piglin,wandering_trader,stray,bat,cod,endermite,evoker,husk,rabbit,ravager,vindicator,llama,wolf,bee,turtle,ender_dragon,panda,parrot,polar_bear,strider,tropical_fish,vex,pufferfish,skeleton_horse,villager,donkey,mooshroom,fox,zoglin,zombie_horse,dolphin,goat,snow_golem,giant,mule,ocelot
61,UncleBarba,,1.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,AI0099,11.0,38.0,42.0,1.0,3.0,20.0,7.0,152.0,,36.0,8442.0,3.0,6.0,,,,,,,1.0,,,1.0,,4.0,,1.0,10.0,,28.0,,9.0,,6.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
63,Abarthnes,13.0,37.0,3.0,,,14.0,4.0,72.0,1.0,7.0,3506.0,7.0,1.0,,,,2.0,8.0,,,,,,,7.0,,1.0,,,,,2.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Awnn,10.0,19.0,,2.0,,16.0,,49.0,,1.0,8391.0,,,,,,,4.0,,,,,,,41.0,,,,,,,1.0,2.0,,,,,1.0,,,,2.0,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,
65,_KanagawaRen,11.0,45.0,,13.0,,11.0,,88.0,,2.0,3849.0,1.0,1.0,,,,1.0,1.0,,1.0,,7.0,,,4.0,,,,3.0,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,
66,DragFire,6.0,13.0,,,4.0,6.0,3.0,27.0,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Benkein,19.0,52.0,,,,42.0,,81.0,,,5054.0,1.0,7.0,2.0,,,,4.0,,23.0,,,,,5.0,,,,,,9.0,,,,,,2.0,,6.0,15.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,jar1360,67.0,249.0,1.0,7.0,180.0,113.0,92.0,353.0,1.0,69.0,29503.0,24.0,10.0,3.0,5.0,3.0,495.0,173.0,,7.0,,5.0,1.0,6.0,24.0,,946.0,35.0,,,276.0,77.0,2.0,43.0,4.0,319.0,34.0,1.0,,3.0,,2.0,28.0,4.0,6.0,,123.0,2.0,,1.0,4.0,,,,,5.0,,3.0,,4.0,7.0,,,,,,,,,,,
69,Filtered99,50.0,130.0,89.0,18.0,55.0,25.0,50.0,212.0,1.0,74.0,2601.0,52.0,4.0,,21.0,,4.0,14.0,,1.0,,9.0,,,11.0,3.0,777.0,15.0,,,,4.0,4.0,54.0,,1.0,2.0,3.0,,,,,41.0,4.0,3.0,2.0,176.0,1.0,2.0,,,,,,,,,13.0,,,16.0,,,1.0,,,,1.0,,,,
70,macklemoist,31.0,51.0,,1.0,32.0,44.0,37.0,234.0,,70.0,6.0,26.0,3.0,,4.0,,1.0,6.0,,,,,28.0,,,,,,,8.0,47.0,5.0,2.0,2.0,,1.0,,,,2.0,,,,,4.0,,,5.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
71,insert__nickname,1.0,6.0,,,,3.0,,4.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,kinyama,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,TheDuneRat,13.0,40.0,,,27.0,6.0,35.0,69.0,,18.0,,8.0,3.0,,,,,1.0,,,,,,,,,,17.0,,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,FrostyGoron,67.0,259.0,77.0,17.0,4.0,131.0,36.0,289.0,7.0,413.0,5633.0,12.0,6.0,,34.0,,8.0,370.0,1.0,,5.0,10.0,,1.0,58.0,,119.0,15.0,133.0,31.0,79.0,21.0,,14.0,3.0,25.0,6.0,,1.0,,5.0,1.0,9.0,7.0,,11.0,41.0,,,,,,,1.0,,,,41.0,,,1.0,,,,,,1.0,,,,,
75,Marita2k,14.0,50.0,,,2.0,16.0,5.0,116.0,,31.0,4117.0,9.0,2.0,,,,11.0,140.0,,2.0,7.0,,,,11.0,,15.0,22.0,,6.0,,2.0,,4.0,,,2.0,1.0,,,25.0,1.0,,1.0,,1.0,2.0,,,,7.0,,172.0,,1.0,,,2.0,,,,,,1.0,,,,1.0,,,,
76,Skullio,53.0,65.0,134.0,12.0,67.0,20.0,40.0,162.0,6.0,79.0,8894.0,41.0,1.0,,24.0,,,336.0,3.0,,27.0,2.0,10.0,1.0,4.0,,3.0,36.0,,4.0,5.0,1.0,,2.0,1.0,55.0,9.0,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,
77,thatpie,38.0,25.0,,2.0,12.0,32.0,26.0,79.0,1.0,150.0,10263.0,23.0,,,,,,71.0,,11.0,,,,,3.0,,3.0,11.0,,,14.0,8.0,,1.0,,,10.0,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
78,Zwierze,133.0,349.0,191.0,69.0,37.0,318.0,45.0,653.0,12.0,2010.0,8586.0,157.0,14.0,,21.0,1.0,324.0,101.0,3.0,,20.0,149.0,25.0,4.0,7.0,,53.0,27.0,104.0,25.0,800.0,35.0,2.0,16.0,,2.0,297423.0,1.0,,,1.0,1.0,4.0,3.0,2.0,3.0,19.0,,1.0,,,,,,,,,11.0,,2.0,2.0,,,,,,,,,,,
79,deadguynwo,3.0,7.0,,12.0,4.0,1.0,1.0,2.0,,4.0,214.0,3.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
